bugged_date;receipt_date;deputy_id;political_party;state_code;deputy_name;receipt_social_security_number;receipt_description;establishment_name;receipt_value
0;09/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597006308.0;Fuels and lubricants.;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;100
0;20/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597006308.0;Fuels and lubricants.;CASCOL COMBUSTÍVEIS PARA VEÍCULOS LTDA;95
0;10/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;12211000225.0;Fuels and lubricants.;DRIVE CAR - TRANSPORTES E COMBUSTÍVEIS LTDA;100
0;21/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4711846000190.0;Fuels and lubricants.;flamingo combustiveis;105
0;31/01/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4711846000190.0;Fuels and lubricants.;FLAMINGO COMBUSTÍVEIS E LUBRIFICANTES S/A;130
0;19/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597004780.0;Fuels and lubricants.;IPIRANGA;100
0;21/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597004780.0;Fuels and lubricants.;IPIRANGA;110
0;05/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;306597004780.0;Fuels and lubricants.;IPIRANGA;130
0;17/01/2013 00:00;1772;PSB;SP;Abelardo Camarinha;108670000207.0;Fuels and lubricants.;JARJOUR VEÍCULOS E PETRÓLEO LTDA;100
0;17/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;108670000207.0;Fuels and lubricants.;JARJOUR VEÍCULOS E PETRÓLEO LTDA;280
0;23/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;3376089000183.0;Fuels and lubricants.;LOS PAMPAS COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.;110
0;02/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;38463000495.0;Fuels and lubricants.;LUBRIFICANTES GASOL INDÚSTRIA E COMÉRCIO LTDA;120
0;15/11/2013 00:00;1772;PSB;SP;Abelardo Camarinha;10471346000121.0;Fuels and lubricants.;MAXIMO COM. DE DERIVADOS DE PETROLEO LTDA;100
0;03/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;2072286000227.0;Fuels and lubricants.;PETROIL COMBUSTIVEIS LTDA;130
0;29/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;2072286000227.0;Fuels and lubricants.;PETROIL COMBUSTIVEIS LTDA;100
0;26/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;42044000184.0;Fuels and lubricants.;POLAR DERIVADOS DE PETRÓLEO LTDA;159
0;17/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;42044000184.0;Fuels and lubricants.;POLAR DERIVADOS DE PETROLEO LTDA;50
0;13/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;42044000184.0;Fuels and lubricants.;POLAR DERIVADOS DE PETRÓLEO LTDA;100
0;16/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;8202116000115.0;Fuels and lubricants.;Posto Aeroporto;100
0;13/04/2013 00:00;1772;PSB;SP;Abelardo Camarinha;375386000116.0;Fuels and lubricants.;POSTO CEASA;125
0;26/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;POSTO DA TORRE LTDA;100
0;25/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;POSTO DA TORRE LTDA;100
0;06/05/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;POSTO DA TORRE LTDA;100
0;15/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;Posto da Torre Ltda;50
0;01/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;POSTO DA TORRE LTDA;75
0;04/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4473193000159.0;Fuels and lubricants.;POSTO DA TORRE LTDA;112
0;20/10/2013 01:00;1772;PSB;SP;Abelardo Camarinha;61462099000138.0;Fuels and lubricants.;POSTO DE SERVIÇO FLORIDA LTDA;128
0;27/02/2013 00:00;1772;PSB;SP;Abelardo Camarinha;1388000226.0;Fuels and lubricants.;POSTO DISBRAVE;67
0;08/03/2013 00:00;1772;PSB;SP;Abelardo Camarinha;543213000240.0;Fuels and lubricants.;POSTO DISBRAVE ESTRUTURAL;120
0;05/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;4711846000190.0;Fuels and lubricants.;POSTO FLAMINGO;100
